                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.399,                 5.2284,                  4.319,                0.00081,                0.33333,                0.00617,                 0.0037,                 5.1039,                 4.9158,                 4.0663,                 0.0856,                 0.0016,                 0.0016
                      2,                 4.2695,                 4.7996,                 4.1319,                0.00245,                0.22917,                0.00207,                0.00124,                 4.8875,                 4.6544,                 3.8987,               0.070267,              0.0032673,              0.0032673
                      3,                 3.7588,                 4.1806,                 3.8222,                0.00252,                0.22222,                0.00411,                0.00276,                 4.7281,                 4.4856,                 3.7752,               0.054901,               0.004901,               0.004901
                      4,                 3.2918,                 3.4241,                 3.4271,                0.00249,                0.22222,                0.00515,                0.00315,                 4.6725,                 4.6779,                 3.7319,               0.039501,               0.006501,               0.006501
                      5,                 3.0702,                 3.0419,                  3.157,                 0.0024,                0.22222,                0.00398,                0.00261,                  4.094,                 4.4301,                 3.6338,               0.024067,              0.0080674,              0.0080674
                      6,                 2.8703,                 2.6757,                 2.8298,                0.00607,                0.39164,                0.01181,                0.00472,                 3.4478,                 3.7611,                 3.1471,               0.009505,               0.009505,               0.009505
                      7,                 2.6584,                 2.4656,                 2.6167,                0.57405,                0.09268,                0.05532,                0.01572,                  2.692,                 3.8744,                 2.6802,               0.009406,               0.009406,               0.009406
                      8,                    2.5,                 2.4019,                  2.412,                0.28274,                0.22237,                0.21447,                0.07572,                 2.4243,                 2.9633,                 2.4108,               0.009307,               0.009307,               0.009307
                      9,                 2.3508,                 2.2928,                 2.2527,                0.29222,                0.17522,                0.19268,                0.07202,                   2.54,                 2.9318,                 2.3843,               0.009208,               0.009208,               0.009208
                     10,                 2.2714,                 2.1085,                 2.1766,                0.31384,                0.43065,                 0.2977,                0.09562,                 2.6286,                 4.4994,                 2.4943,               0.009109,               0.009109,               0.009109
                     11,                 2.2338,                 2.0174,                 2.1197,                 0.3189,                0.58446,                0.43459,                0.16451,                 2.6956,                 3.3193,                 2.4028,                0.00901,                0.00901,                0.00901
                     12,                 2.1377,                 1.9262,                 2.0341,                0.31517,                0.38859,                0.33661,                 0.1347,                 2.5617,                 2.5452,                 2.2067,               0.008911,               0.008911,               0.008911
                     13,                 2.1198,                 1.8717,                 1.9998,                0.54707,                0.50327,                0.45051,                0.18828,                 2.6591,                 2.2983,                 2.2568,               0.008812,               0.008812,               0.008812
                     14,                 2.0763,                 1.8462,                 1.9465,                0.81716,                0.25744,                0.38152,                0.16454,                 2.3923,                   2.31,                 2.1571,               0.008713,               0.008713,               0.008713
                     15,                  1.999,                 1.6925,                 1.8853,                0.59366,                0.55108,                 0.5266,                0.24908,                 2.6571,                 2.7914,                 2.3278,               0.008614,               0.008614,               0.008614
                     16,                 2.0239,                 1.6565,                 1.8734,                0.71038,                0.60514,                0.64892,                0.31874,                 2.4303,                 2.5044,                 2.1545,               0.008515,               0.008515,               0.008515
                     17,                  1.959,                 1.6596,                 1.8664,                0.70581,                  0.667,                0.71218,                 0.4124,                 2.2867,                 2.3303,                   2.08,               0.008416,               0.008416,               0.008416
                     18,                 1.9588,                 1.6036,                 1.8297,                0.77722,                0.62095,                0.73019,                0.44848,                 2.3696,                 2.2788,                 2.0716,               0.008317,               0.008317,               0.008317
                     19,                 1.9311,                 1.5652,                 1.7795,                0.70165,                 0.6434,                0.71534,                 0.4135,                 2.1012,                 2.1911,                 2.0242,               0.008218,               0.008218,               0.008218
                     20,                 1.8913,                 1.5558,                 1.7825,                0.52981,                0.55366,                0.50449,                0.25809,                 2.1866,                 3.1916,                 2.1506,               0.008119,               0.008119,               0.008119
                     21,                  1.886,                  1.523,                 1.7556,                0.73717,                0.67304,                0.74323,                0.45977,                  2.059,                 2.3617,                   1.97,                0.00802,                0.00802,                0.00802
                     22,                 1.8429,                 1.4672,                 1.7461,                0.51498,                0.62814,                0.59676,                0.29524,                 2.3037,                 2.4917,                 2.0851,               0.007921,               0.007921,               0.007921
                     23,                 1.8439,                 1.4831,                 1.7207,                0.76142,                0.64937,                0.75651,                0.39441,                 2.0678,                 2.4362,                 1.9951,               0.007822,               0.007822,               0.007822
                     24,                 1.7989,                 1.4322,                 1.6951,                0.70191,                 0.4882,                 0.5686,                0.32244,                 2.3855,                  2.756,                 2.1955,               0.007723,               0.007723,               0.007723
                     25,                 1.7849,                 1.4221,                 1.7026,                0.76033,                0.70409,                0.75147,                0.46631,                 2.1214,                 2.6045,                 1.9803,               0.007624,               0.007624,               0.007624
                     26,                 1.8014,                 1.3774,                 1.6726,                0.66613,                0.71727,                0.79921,                0.44752,                 2.1323,                 1.8387,                 1.9021,               0.007525,               0.007525,               0.007525
                     27,                 1.7701,                 1.3945,                 1.6896,                0.80908,                0.70896,                0.76967,                0.46935,                 2.1168,                 2.4745,                 1.9956,               0.007426,               0.007426,               0.007426
                     28,                 1.7549,                 1.3264,                 1.6538,                0.78802,                0.71202,                0.77907,                0.45307,                 2.1398,                 2.5707,                  1.973,               0.007327,               0.007327,               0.007327
                     29,                 1.7696,                 1.3258,                 1.6382,                0.76698,                0.65374,                0.73097,                0.38958,                 2.3322,                 2.1563,                 1.9869,               0.007228,               0.007228,               0.007228
                     30,                 1.7394,                 1.2714,                 1.6244,                0.81449,                0.70735,                0.79218,                0.45206,                 2.1221,                 2.0125,                 1.9322,               0.007129,               0.007129,               0.007129
                     31,                 1.7015,                   1.27,                 1.5942,                0.83583,                0.77168,                0.83617,                0.52207,                 2.2064,                 1.9574,                 1.9812,                0.00703,                0.00703,                0.00703
                     32,                 1.7182,                 1.2699,                 1.6209,                0.59936,                0.72969,                0.62886,                0.33066,                 2.1788,                 2.0002,                 1.9912,               0.006931,               0.006931,               0.006931
