                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4451,                 5.2864,                 4.2926,                0.00061,                0.18421,                0.00512,                0.00229,                 4.9334,                 4.9568,                 4.0627,                 0.0856,                 0.0016,                 0.0016
                      2,                 4.3179,                   4.83,                 4.1209,                 0.0022,                0.16316,                0.00479,                0.00249,                 4.6757,                 4.6851,                 3.8964,               0.070267,              0.0032673,              0.0032673
                      3,                 3.8264,                 4.2094,                 3.8704,                0.00229,                0.16842,                 0.0031,                0.00161,                 4.4981,                 4.6483,                 3.8002,               0.054901,               0.004901,               0.004901
                      4,                 3.3196,                 3.5084,                 3.5177,                0.00223,                0.16316,                0.00208,                0.00113,                 4.4781,                 4.7085,                  3.795,               0.039501,               0.006501,               0.006501
                      5,                 3.0444,                  3.076,                 3.1767,                0.00222,                0.16842,                0.00309,                0.00165,                 4.2259,                 4.5801,                 3.7207,               0.024067,              0.0080674,              0.0080674
                      6,                  2.897,                 2.8108,                 2.8569,                0.53336,                0.03125,                0.01255,                0.00269,                 3.6438,                 4.0777,                 3.4084,               0.009505,               0.009505,               0.009505
                      7,                  2.672,                 2.6945,                 2.6335,                0.66314,                0.17606,                0.16172,                0.04947,                 2.8386,                 3.3961,                 2.8078,               0.009406,               0.009406,               0.009406
                      8,                 2.5415,                 2.4053,                 2.4397,                0.19669,                0.33403,                 0.1311,                0.04187,                 2.5023,                 6.4731,                 2.6871,               0.009307,               0.009307,               0.009307
                      9,                 2.4521,                 2.3294,                 2.3535,                0.26856,                0.46244,                0.34653,                0.17036,                 2.5013,                 4.1428,                 2.5051,               0.009208,               0.009208,               0.009208
                     10,                 2.3409,                 2.1296,                 2.2712,                0.26495,                0.42057,                0.27041,                0.07923,                 2.3991,                 4.6624,                  2.433,               0.009109,               0.009109,               0.009109
                     11,                 2.2758,                 2.0759,                 2.1601,                0.26319,                0.48946,                0.28873,                 0.1007,                 2.1428,                   2.17,                 2.3014,                0.00901,                0.00901,                0.00901
                     12,                 2.1811,                 1.9478,                 2.0602,                0.32513,                0.31403,                0.32685,                0.13192,                 2.2296,                 3.3465,                 2.2735,               0.008911,               0.008911,               0.008911
